kappa_0.16,,kappa_0.23_main,,kappa_0.30_main,,kappa_0.37_main,,kappa_0.23_bullet,,kappa_0.30_bullet,,kappa_0.16_nw,,kappa_0.16_uc,,kappa_0.16_ur,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.5322496041555862,-0.05178784199410464,-1.4715404229365294,-0.025308514741906908,-1.2545700718016777,-0.031539745780186534,-1.4917965551132517,-0.03373874707162501,-3.732351509389975,-0.043088098768092754,-4.0078788352972845,-0.04582084115421488,,,-2.254034481507383,-0.061787666002079376,-3.679314221497032,-0.06173469376649132
-0.515052082454363,-0.05137360391926932,-1.5637080071134797,-0.0254604906736167,-1.3219290781476953,-0.030944934879018088,-1.5757787410506858,-0.03399095110025077,-3.691717828295978,-0.042240708255232844,-4.0560021557804395,-0.045351174530541744,,,-2.1891583792940192,-0.062006180229710745,-3.780101030020192,-0.06199970517765786
-0.5037562328838309,-0.050319687790235566,-1.6760853395437951,-0.025424614979179867,-1.401306977575402,-0.03028758939740856,-1.6188339357905404,-0.03474429561345634,-3.6149251504789186,-0.04205133927350074,-4.111314984383969,-0.04494434295376226,,,-2.1122633839989655,-0.0622872290377832,-3.8693136854326777,-0.062490336848059054
-0.4319702903232753,-0.04918955834550749,-1.7511045144089594,-0.024936552296948154,-1.483058642492568,-0.029755726218053488,-1.6546928012448203,-0.03546616626575523,-3.5597419240141814,-0.04186230831652778,-4.171436734453214,-0.04450622530760896,,,-2.0210030147935614,-0.0623798853800944,-3.9641742656304295,-0.06350792658297712
-0.4120061040170958,-0.04824840727612319,-1.828849426887883,-0.025163569725187247,-1.5647762015837365,-0.029380668968633263,-1.7314240885750831,-0.03593778592137006,-3.54300960577957,-0.04151707236252511,-4.241169506288691,-0.04403689670869497,,,,,-4.010200759931228,-0.06384734851112256
-0.48736906560831983,-0.046179740820148155,-1.8803765088056357,-0.026707351335168134,-1.658362588122203,-0.0296330232304853,-1.8081417335749468,-0.03647212794895885,-3.6056006176510698,-0.040765380414808663,-4.296482334892221,-0.04363006513191549,,,,,-4.076633452043139,-0.06309571665669664
-0.5308499010566289,-0.04497614732776678,-1.9695236810322052,-0.027499050391044236,-1.7422765624076415,-0.030198839118980768,-1.8344100407585937,-0.03713112599605751,-3.7232793596745113,-0.04064177602788278,-4.370914889550219,-0.0436312294394192,,,,,-4.206110081395804,-0.0639256801153075
-0.5454608369141649,-0.044035537097997096,-2.053104782455904,-0.02738745715055981,-1.8308971406808017,-0.031203786727906947,-1.85578757249413,-0.038197744344373646,-3.831449397409716,-0.040078964803913014,-4.462107047103627,-0.043852184956977694,,,,,-4.303991073543936,-0.06430354672605926
-0.5110330519187606,-0.0433575946410639,-2.1422601400807117,-0.028141522783251556,-1.8931266307967218,-0.032114237637499946,-1.8676222941154303,-0.038981961785580756,-3.8504940906469898,-0.040831933734052875,-4.5363963572924355,-0.04451193417020778,,,,,-4.306684069564738,-0.06516916052926752
-0.4824168996734126,-0.0424539417849603,-2.245731759226434,-0.029309781420810734,-1.9217073129830322,-0.0331809686607358,-1.8626292011893255,-0.039859999876602784,-3.9368091150826867,-0.041397787180854906,-4.608332365487382,-0.04495211752322251,,,,,-4.222890147786812,-0.06625922277254542
-0.46821523372785223,-0.04151288085551176,-2.2858565813965415,-0.03028888140315461,-1.9983362828353017,-0.034123006106155186,-1.8264497409706644,-0.04061210496569151,-4.020879976167715,-0.04124229579165004,-4.684988620000449,-0.04576871022469402,,,,,-4.127890415818989,-0.06588140123176155
-0.43096348633981485,-0.04057145936632014,-2.415374137740404,-0.030930677745843654,-2.0534308341524437,-0.03471973248095876,-1.826224642519078,-0.041647024103261536,-4.109827970370457,-0.04074190647320165,-4.696721024143756,-0.04702334545570569,,,,,-4.021398384722885,-0.06535286571836868
-0.41961033898160605,-0.03978097719957693,-2.501648235184903,-0.03168469830856751,-2.1132865587789045,-0.03550470108829731,-1.8308834983504025,-0.04230568412560106,-4.208277847696236,-0.0407120851777841,-4.746870230691191,-0.04827858161962251,,,,,-3.9581743687208633,-0.06459920571538792
