MatchRA,MatchDec,MatchID,NumImages,NumFilters,NumVisits,A_F606W,A_F775W,A_F814W,A_F850LP,W3_F110W,W3_F160W,CI
104.6006797671998,-55.96969566544174,15601595,4,4,3,24.917999267578125,24.18630027770996,24.048200607299805,24.049699783325195,,,1.8940860817106595
104.63047774543516,-55.94697612018325,15657603,6,2,3,,,,,21.140499114990234,20.884300231933597,3.779020582477336
104.64224332057827,-55.938314711222695,15664350,13,7,9,19.450249671936035,18.473499298095703,18.52039909362793,18.218299865722656,18.25694942474365,17.84950065612793,2.2698730794918287
104.6150669700618,-55.93085973035579,38829614,1,1,1,,25.416200637817383,,,,,1.616203674563655
104.58074424386864,-55.96407335292677,38844915,4,3,2,20.18834972381592,,18.90699958801269,,,,1.999652744443328
104.65620484920971,-55.93523417990829,38863215,8,6,7,23.46319961547852,22.52059936523437,,22.28339958190918,21.90880012512207,21.622499465942383,2.0658286547180613
104.6538962915852,-55.94636255748736,38871830,12,6,9,21.07749938964844,20.060300827026367,,19.70369911193848,19.59550094604492,19.1875,1.8969403810451009
104.62774199679046,-55.92807085049354,38879032,5,4,4,24.73674964904785,24.188100814819336,24.12820053100586,24.04360008239746,,,1.6905377102994372
104.64213640364896,-55.94473307713356,38890496,3,2,2,,,,,25.51469993591309,25.23080062866211,2.3496312892174327
104.62275306317432,-55.95377453934767,38919821,3,2,2,,,,,26.11240005493164,25.41939926147461,2.3020424822500263
104.59290135109602,-55.95699419427996,38981410,2,2,1,25.93709945678711,,26.00200080871582,,,,1.643888928272106
104.65643378635812,-55.95420042533629,38992883,2,2,1,,,,,26.199899673461918,25.4143009185791,3.0664672459493563
104.69791440744518,-55.93992975039372,38994066,1,1,1,,26.0674991607666,,,,,1.717407394338537
104.55709082918224,-55.923043694496926,39007917,3,3,2,20.202600479125977,,19.387500762939453,,,,1.4797839485568762
104.66434294004485,-55.95400860293267,39046920,2,1,2,,,,,26.83739948272705,,2.608482113906315
104.63774739881376,-55.93248743265539,39054724,2,2,1,,,,,25.8080997467041,25.75429916381836,2.8012007045974605
104.6556229758416,-55.93551212941163,39065509,2,2,1,,,,,24.92449951171875,24.617700576782227,2.647225460263966
104.63145322416077,-55.94236108352268,39080863,9,5,6,23.590999603271484,23.268600463867188,23.01930046081543,,22.25084972381592,21.767200469970703,2.4428045407535124
104.64017263038242,-55.95313467228802,39093287,12,6,9,22.440900802612305,21.284900665283203,,20.989200592041016,20.71339988708496,20.33340072631836,1.7118153327167516
104.67663887899708,-55.95544888431623,61043931,1,1,1,,,,,,24.675800323486328,1.9152239187439877
104.63150594830977,-55.960793170605896,61081769,2,2,1,,,,,25.905000686645508,24.977100372314453,3.398074279588931
104.65194064024864,-55.96276744704207,61104716,1,1,1,,,,,26.80500030517578,,2.3237500871930803
104.53702610411582,-55.95517128903685,61132842,2,2,1,25.981599807739254,,25.12019920349121,,,,1.8855093253983388
104.68750948797184,-55.94461311656208,61139216,5,5,4,24.007400512695312,23.50119972229004,,23.00609970092773,22.82819938659668,22.580799102783203,1.8883045385931865
104.6493883239602,-55.96212547230282,61152620,10,6,8,23.37689971923828,22.206100463867188,,21.84449958801269,21.39854907989502,20.889549255371094,2.0542289044262545
104.64880707356777,-55.94224783320016,61170230,2,2,1,,,,,24.41119956970215,23.968799591064453,3.3654798608598933
104.55091230196084,-55.93391869092147,61186894,2,2,1,24.792499542236328,,24.441499710083008,,,,1.925324069129096
104.58731465790216,-55.96574783374863,61211136,2,2,1,26.14970016479492,,25.669099807739254,,,,1.9797221929938704
104.63555907246706,-55.93362567603714,61254408,1,1,1,,,,,,20.21929931640625,3.5191044878603805
104.6289803379556,-55.97634799728714,61270101,1,1,1,25.78019905090332,,,,,,1.9245370670601167
104.66076784874662,-55.95826851682703,61281300,2,2,1,,,,,24.51469993591309,24.265300750732425,3.442790433923318
104.66684888815114,-55.93295702023054,61300601,4,4,4,26.10740089416504,24.536300659179688,,24.46640014648437,,,1.8451478670692725
104.61331460864012,-55.92494476660327,61332305,1,1,1,,,,,26.60860061645508,,1.8835714885166712
104.6514308896871,-55.9485727382993,61382260,2,2,1,,,,,25.66360092163086,25.491500854492188,3.377641403853003
104.6419494831682,-55.965928988092095,83288638,4,2,2,,,,,21.778200149536133,21.43614959716797,3.504222447175715
104.6597402319819,-55.954544854076886,83298213,12,6,9,24.217500686645508,23.186599731445312,,22.94230079650879,22.681900024414062,22.425199508666992,2.060235418907603
104.53141899401184,-55.96317562865585,83360047,2,2,1,25.00489997863769,,24.939699172973636,,,,1.778009257934711
104.63290257940685,-55.96928870170365,83383363,7,5,5,24.42449951171875,23.39859962463379,,23.14069938659668,22.83899974822998,22.565549850463867,2.0469301827025936
104.62995962784464,-55.94753701073598,83408784,15,7,10,21.231300354003903,20.40220069885254,20.338600158691406,20.13319969177246,19.43099975585937,19.13419914245605,2.426599753087843
104.58115292560976,-55.923902977271005,83414931,2,2,1,25.25239944458008,,24.07539939880371,,,,2.0407407372086137
104.63001801377456,-55.93377692613383,83544743,2,2,1,,,,,20.120899200439453,19.80870056152344,3.641388735283158
104.54263165562531,-55.95343784943064,83576662,2,2,1,24.829500198364254,,24.53030014038086,,,,1.973703724366647
104.5430130575594,-55.95798794673672,83587333,2,2,1,24.89859962463379,,24.22929954528809,,,,1.7366203444975392
104.63292613133588,-55.9435406633372,83637952,13,7,9,20.129199981689453,19.11540031433105,18.99650001525879,18.749000549316406,18.60295009613037,18.16375064849853,1.9152693418187083
104.6523857905707,-55.92690714934327,83644587,2,2,1,,,,,25.3262996673584,25.127099990844727,2.965073319259228
